Start Date,End Date,Campaign Name,Advert Name,Placement,Reach,Frequency,Impressions,Clicks,Unique Clicks,Click-through Rate (CTR),Unique Click-through Rate (uCTR),Amount Spent (EUR),Actions,People Taking Action,Page Likes,Impression Device,Destination
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0,0,0,0,Android Tablet,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,Audience Network on Third-party Mobile Apps,21,1.761905,37,0,0,0,0,0.01,0,0,0,Other,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,Right Column Adverts on Desktop Computers,36,1.916667,69,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,Audience Network on Third-party Mobile Apps,279,1.512545,422,0,0,0,0,0.14,0,0,0,Other,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,Right Column Adverts on Home Page for Desktop Computers,22,1.590909,35,0,0,0,0,0.01,0,0,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,3,1.333333,4,0,0,0,0,0.01,0,0,0,iPod,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,172,1.02907,177,3,2,1.694915,1.162791,0.56,3,3,1,iPhone,All Destinations
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano’s - Website Conversions,News Feed on Mobile Devices,,,,,,,,,,,1,iPhone,Nederlands Philharmonisch Orkest | Nederlands Kamerorkest
2015-04-12,2015-04-12,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,Right Column Adverts on Desktop Computers,23,1.956522,45,0,0,0,0,0,0,0,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,18,1,18,1,1,5.555556,5.555556,0.12,0,0,0,iPad,No Breakdown
2015-04-12,2015-04-12,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Desktop Computers,115,1,115,0,0,0,0,0.41,0,0,0,Desktop,No Breakdown
2015-04-12,2015-04-12,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,57,1.017544,58,0,0,0,0,0.18,0,0,0,iPhone,No Breakdown
2015-04-12,2015-04-12,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,11,1.090909,12,1,1,8.333333,9.090909,0.06,0,0,0,iPad,No Breakdown
2015-04-12,2015-04-12,Dartele Piano's,www.orkest.nl/concert/dartele-piano%E2%80%99s - Website Conversions,News Feed on Mobile Devices,34,1.058824,36,0,0,0,0,0.16,0,0,0,Android Smartphone,No Breakdown
2015-04-12,2015-04-12,Anne & Zef,www.orkest.nl/concert/jeugdopera-anne-en-zef-12 - Website Conversions,News Feed on Mobile Devices,1,1,1,0,0,0,0,0.01,0,0,0,Android Tablet,No Breakdown
